Uninformative	Informative
0.78757	0.21243
0.59796	0.40204
0.9801	0.0199
0.99994	6e-05
0.98147	0.01853
0.00086	0.99914
0.91562	0.08438
0.98831	0.01169
0.93626	0.06374
0.28944	0.71056
0.91384	0.08616
0.98911	0.01089
0.76273	0.23727
0.8612	0.1388
0.21996	0.78004
0.16514	0.83486
0.952	0.048
0.95211	0.04789
0.96337	0.03663
0.01075	0.98925
0.10616	0.89384
0.9425	0.0575
0.82835	0.17165
0.16659	0.83341
0.0	1.0
0.95975	0.04025
0.99593	0.00407
0.96569	0.03431
0.01419	0.98581
0.74427	0.25573
0.08739	0.91261
0.61878	0.38122
0.73598	0.26402
0.04161	0.95839
0.98439	0.01561
0.91847	0.08153
0.99972	0.00028
0.38405	0.61595
0.99991	9e-05
0.55844	0.44156
0.98698	0.01302
0.96104	0.03896
0.80466	0.19534
0.5478	0.4522
0.99542	0.00458
0.05619	0.94381
0.0004	0.9996
0.05427	0.94573
0.85979	0.14021
0.90222	0.09778
0.98523	0.01477
0.87775	0.12225
0.81518	0.18482
0.96824	0.03176
0.06042	0.93958
0.97651	0.02349
0.58204	0.41796
0.00074	0.99926
0.98785	0.01215
0.14064	0.85936
0.01868	0.98132
0.09478	0.90522
0.42191	0.57809
0.04087	0.95913
0.49702	0.50298
0.32079	0.67921
0.60209	0.39791
0.19443	0.80557
0.09779	0.90221
0.3811	0.6189
0.65041	0.34959
0.9763	0.0237
0.97211	0.02789
0.93813	0.06187
0.90452	0.09548
0.64468	0.35532
0.99628	0.00372
0.74732	0.25268
0.06857	0.93143
0.90098	0.09902
0.99867	0.00133
0.00016	0.99984
0.79206	0.20794
0.30712	0.69288
0.00038	0.99962
0.48113	0.51887
0.70598	0.29402
0.34754	0.65246
0.00026	0.99974
0.81196	0.18804
0.9933	0.0067
0.31251	0.68749
0.31389	0.68611
0.00074	0.99926
0.00444	0.99556
0.99372	0.00628
0.96351	0.03649
0.99881	0.00119
0.70398	0.29602
0.81226	0.18774
0.30025	0.69975
0.99878	0.00122
0.00218	0.99782
0.10055	0.89945
0.69243	0.30757
0.97433	0.02567
0.47241	0.52759
0.99865	0.00135
0.07032	0.92968
0.10322	0.89678
0.80136	0.19864
0.96403	0.03597
0.07684	0.92316
0.99252	0.00748
0.99783	0.00217
0.13007	0.86993
0.69815	0.30185
0.0421	0.9579
0.04729	0.95271
0.3061	0.6939
0.019	0.981
0.94044	0.05956
0.97371	0.02629
0.99619	0.00381
0.88511	0.11489
0.03943	0.96057
0.96652	0.03348
0.23313	0.76687
0.00485	0.99515
0.61359	0.38641
0.97863	0.02137
0.98299	0.01701
0.97765	0.02235
0.24109	0.75891
0.23031	0.76969
0.02318	0.97682
0.99792	0.00208
0.00119	0.99881
0.73917	0.26083
0.4098	0.5902
0.98842	0.01158
0.98423	0.01577
0.9799	0.0201
0.99865	0.00135
0.06182	0.93818
0.1521	0.8479
0.00043	0.99957
0.8738	0.1262
0.0685	0.9315
0.2551	0.7449
0.00098	0.99902
0.0688	0.9312
0.69405	0.30595
0.90803	0.09197
0.28849	0.71151
0.46578	0.53422
0.83785	0.16215
0.04676	0.95324
0.00557	0.99443
0.0	1.0
0.5568	0.4432
9e-05	0.99991
0.89669	0.10331
0.00168	0.99832
0.0	1.0
0.04829	0.95171
0.38894	0.61106
0.8758	0.1242
0.11319	0.88681
0.99874	0.00126
0.96024	0.03976
0.20825	0.79175
0.97456	0.02544
0.28211	0.71789
0.32426	0.67574
0.13325	0.86675
0.32254	0.67746
0.00158	0.99842
