Uninformative	Informative
0.38526	0.61474
0.40771	0.59229
0.87706	0.12294
0.91279	0.08721
0.85988	0.14012
0.0588	0.9412
0.49755	0.50245
0.86019	0.13981
0.53902	0.46098
0.25627	0.74373
0.75668	0.24332
0.82608	0.17392
0.72312	0.27688
0.85373	0.14627
0.18523	0.81477
0.48597	0.51403
0.89818	0.10182
0.85652	0.14348
0.7965	0.2035
0.15365	0.84635
0.21725	0.78275
0.95734	0.04266
0.68744	0.31256
0.15516	0.84484
0.04261	0.95739
0.83318	0.16682
0.84225	0.15775
0.83398	0.16602
0.15098	0.84902
0.73184	0.26816
0.12548	0.87452
0.48011	0.51989
0.65593	0.34407
0.14105	0.85895
0.93322	0.06678
0.64729	0.35271
0.9746	0.0254
0.35252	0.64748
0.93022	0.06978
0.67018	0.32982
0.92002	0.07998
0.81065	0.18935
0.85071	0.14929
0.63532	0.36468
0.89606	0.10394
0.21292	0.78708
0.14535	0.85465
0.13624	0.86376
0.80953	0.19047
0.81643	0.18357
0.79265	0.20735
0.44768	0.55232
0.47343	0.52657
0.84779	0.15221
0.16722	0.83278
0.84857	0.15143
0.61037	0.38963
0.0318	0.9682
0.81655	0.18345
0.18997	0.81003
0.08805	0.91195
0.19733	0.80267
0.65768	0.34232
0.28924	0.71076
0.52536	0.47464
0.27117	0.72883
0.67912	0.32088
0.19376	0.80624
0.15807	0.84193
0.32137	0.67863
0.5386	0.4614
0.88928	0.11072
0.51676	0.48324
0.81656	0.18344
0.81582	0.18418
0.65743	0.34257
0.9139	0.0861
0.66514	0.33486
0.16115	0.83885
0.86176	0.13824
0.9413	0.0587
0.03342	0.96658
0.79287	0.20713
0.36047	0.63953
0.01266	0.98734
0.37478	0.62522
0.71561	0.28439
0.25118	0.74882
0.08547	0.91453
0.69668	0.30332
0.9215	0.0785
0.25801	0.74199
0.5004	0.4996
0.04856	0.95144
0.073	0.927
0.89295	0.10705
0.91522	0.08478
0.92833	0.07167
0.44634	0.55366
0.4802	0.5198
0.36611	0.63389
0.8157	0.1843
0.10685	0.89315
0.16497	0.83503
0.69529	0.30471
0.92298	0.07702
0.24385	0.75615
0.99057	0.00943
0.14597	0.85403
0.3563	0.6437
0.41384	0.58616
0.58066	0.41934
0.15182	0.84818
0.82284	0.17716
0.84395	0.15605
0.14494	0.85506
0.44425	0.55575
0.14425	0.85575
0.19521	0.80479
0.56535	0.43465
0.05472	0.94528
0.81097	0.18903
0.60621	0.39379
0.91566	0.08434
0.84101	0.15899
0.11839	0.88161
0.72931	0.27069
0.34786	0.65214
0.08616	0.91384
0.42342	0.57658
0.87348	0.12652
0.55945	0.44055
0.85156	0.14844
0.25711	0.74289
0.22212	0.77788
0.11442	0.88558
0.87766	0.12234
0.03778	0.96222
0.7218	0.2782
0.22355	0.77645
0.88551	0.11449
0.84011	0.15989
0.83558	0.16442
0.9417	0.0583
0.13074	0.86926
0.17062	0.82938
0.0472	0.9528
0.58038	0.41962
0.16279	0.83721
0.2199	0.7801
0.03425	0.96575
0.10835	0.89165
0.69847	0.30153
0.79017	0.20983
0.25743	0.74257
0.38164	0.61836
0.7731	0.2269
0.07324	0.92676
0.14614	0.85386
0.04278	0.95722
0.31953	0.68047
0.07351	0.92649
0.57698	0.42302
0.12592	0.87408
0.05582	0.94418
0.1371	0.8629
0.30879	0.69121
0.71495	0.28505
0.1865	0.8135
0.9011	0.0989
0.87854	0.12146
0.27276	0.72724
0.88812	0.11188
0.22586	0.77414
0.26664	0.73336
0.15496	0.84504
0.23443	0.76557
0.05023	0.94977
0.99349	0.00651
0.76978	0.23022
0.95373	0.04627
0.65187	0.34813
0.16954	0.83046
0.19174	0.80826
0.85421	0.14579
0.83551	0.16449
0.7505	0.2495
0.63939	0.36061
0.18296	0.81704
0.58631	0.41369
0.87454	0.12546
0.87262	0.12738
0.87959	0.12041
0.78512	0.21488
0.45924	0.54076
0.17143	0.82857
0.5578	0.4422
0.4207	0.5793
0.36772	0.63228
0.77184	0.22816
0.09443	0.90557
0.11378	0.88622
0.1227	0.8773
0.80427	0.19573
0.24761	0.75239
0.55201	0.44799
0.22571	0.77429
0.90222	0.09778
0.40799	0.59201
0.73696	0.26304
