Uninformative	Informative
0.0	1.0
0.0	1.0
1.0	0.0
1.0	0.0
1.0	0.0
0.0	1.0
0.0	1.0
1.0	0.0
0.0	1.0
0.0	1.0
1.0	0.0
1.0	0.0
1.0	0.0
1.0	0.0
0.0	1.0
1.0	0.0
1.0	0.0
1.0	0.0
1.0	0.0
0.0	1.0
0.0	1.0
1.0	0.0
0.92963	0.07037
0.0	1.0
0.0	1.0
1.0	0.0
1.0	0.0
1.0	0.0
0.0	1.0
1.0	0.0
0.0	1.0
0.03584	0.96416
1.0	0.0
0.0	1.0
1.0	0.0
0.48514	0.51486
1.0	0.0
0.0	1.0
1.0	0.0
1.0	0.0
1.0	0.0
1.0	0.0
1.0	0.0
1.0	0.0
1.0	0.0
0.0	1.0
0.0	1.0
0.0	1.0
1.0	0.0
1.0	0.0
1.0	0.0
0.064	0.936
0.0	1.0
1.0	0.0
0.0	1.0
1.0	0.0
1.0	0.0
0.0	1.0
1.0	0.0
0.0	1.0
0.0	1.0
0.24665	0.75335
1.0	0.0
0.57009	0.42991
1.0	0.0
0.0	1.0
1.0	0.0
0.0	1.0
0.0	1.0
0.0	1.0
0.30647	0.69353
1.0	0.0
0.0	1.0
1.0	0.0
1.0	0.0
1.0	0.0
1.0	0.0
1.0	0.0
0.0	1.0
1.0	0.0
1.0	0.0
0.0	1.0
1.0	0.0
0.0	1.0
0.0	1.0
0.0	1.0
1.0	0.0
0.0	1.0
0.0	1.0
1.0	0.0
1.0	0.0
0.0	1.0
0.89174	0.10826
0.0	1.0
0.0	1.0
1.0	0.0
1.0	0.0
1.0	0.0
0.0	1.0
0.0	1.0
0.39572	0.60428
1.0	0.0
0.0	1.0
0.0	1.0
1.0	0.0
1.0	0.0
0.0	1.0
1.0	0.0
0.0	1.0
0.43118	0.56882
0.0	1.0
0.0	1.0
0.0	1.0
1.0	0.0
1.0	0.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
1.0	0.0
0.0	1.0
1.0	0.0
0.03539	0.96461
1.0	0.0
1.0	0.0
0.0	1.0
0.82644	0.17356
0.0	1.0
0.0	1.0
0.0	1.0
1.0	0.0
0.0	1.0
1.0	0.0
0.0	1.0
0.0	1.0
0.0	1.0
1.0	0.0
0.0	1.0
0.64993	0.35007
0.0	1.0
1.0	0.0
1.0	0.0
1.0	0.0
1.0	0.0
0.0	1.0
0.0	1.0
0.0	1.0
0.23023	0.76977
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
1.0	0.0
1.0	0.0
0.0	1.0
0.0	1.0
1.0	0.0
0.0	1.0
