Uninformative	Informative
0.26774	0.73226
0.46356	0.53644
0.99422	0.00578
0.99782	0.00218
0.94047	0.05953
0.0	1.0
0.64477	0.35523
0.96866	0.03134
0.60881	0.39119
0.15839	0.84161
0.89601	0.10399
0.92204	0.07796
0.70472	0.29528
0.88702	0.11298
0.10735	0.89265
0.34043	0.65957
0.96385	0.03615
0.94139	0.05861
0.93968	0.06032
0.21421	0.78579
0.16315	0.83685
0.99422	0.00578
0.77704	0.22296
0.17573	0.82427
0.0	1.0
0.9394	0.0606
0.96889	0.03111
0.86613	0.13387
0.04218	0.95782
0.72298	0.27702
0.08216	0.91784
0.76129	0.23871
0.69848	0.30152
0.07926	0.92074
0.99423	0.00577
0.88369	0.11631
0.99753	0.00247
0.52258	0.47742
0.99831	0.00169
0.65043	0.34957
0.99421	0.00579
0.90434	0.09566
0.84581	0.15419
0.71219	0.28781
0.99422	0.00578
0.06335	0.93665
0.00394	0.99606
0.00392	0.99608
0.85777	0.14223
0.92793	0.07207
0.9149	0.0851
0.75073	0.24927
0.48175	0.51825
0.94512	0.05488
0.16393	0.83607
0.93136	0.06864
0.53359	0.46641
0.0	1.0
0.95246	0.04754
0.21249	0.78751
0.03403	0.96597
0.27149	0.72851
0.61149	0.38851
0.08423	0.91577
0.36673	0.63327
0.31605	0.68395
0.59622	0.40378
0.10428	0.89572
0.08954	0.91046
0.42906	0.57094
0.46007	0.53993
0.95413	0.04587
0.73157	0.26843
0.88389	0.11611
0.8988	0.1012
0.61912	0.38088
0.99422	0.00578
0.78693	0.21307
0.10094	0.89906
0.93946	0.06054
0.99757	0.00243
0.0	1.0
0.87174	0.12826
0.46975	0.53025
0.0029	0.9971
0.46158	0.53842
0.64986	0.35014
0.19325	0.80675
1e-05	0.99999
0.7368	0.2632
0.9942	0.0058
0.27582	0.72418
0.50742	0.49258
0.0	1.0
0.00393	0.99607
0.99422	0.00578
0.96581	0.03419
0.99468	0.00532
0.6039	0.3961
0.74347	0.25653
0.21037	0.78963
0.93972	0.06028
0.00393	0.99607
0.00394	0.99606
0.83125	0.16875
0.99422	0.00578
0.133	0.867
0.99422	0.00578
0.18469	0.81531
0.37274	0.62726
0.61716	0.38284
0.83099	0.16901
0.03382	0.96618
